Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,Temprature,Humidity
,Iraq,2020-03-10T05:13:07,71,7,3,33.0,44.0,24.2,35
,Iceland,2020-03-10T12:53:02,69,0,1,64.9631,-19.0208,-6.3,86
,Kuwait,2020-03-10T10:13:28,69,0,1,29.5,47.75,22.8,23
,Egypt,2020-03-10T05:13:07,59,1,1,26.0,30.0,20.9,36
,Israel,2020-03-10T12:53:02,58,0,4,31.0,35.0,22.7,46
,India,2020-03-10T10:13:28,56,0,4,21.0,78.0,28.3,37
New South Wales,Australia,2020-03-10T14:13:14,55,2,4,-33.8688,151.2093,19.7,68
,Thailand,2020-03-10T08:53:03,53,1,33,15.87,100.9925,33.1,40
,San Marino,2020-03-10T05:13:07,51,2,0,43.9424,12.4578,13.3,67
Taiwan,Taipei and environs,2020-03-10T19:13:15,47,1,17,23.7,121.0,14.5,83
Diamond Princess,US,2020-03-10T02:33:04,46,0,0,35.4437,139.638,10.9,45
,Czech Republic,2020-03-10T13:33:14,41,0,0,49.8175,15.472999999999999,9.9,87
,Lebanon,2020-03-10T10:53:03,41,1,1,33.8547,35.8623,18.4,40
,Portugal,2020-03-10T12:53:02,41,0,0,39.3999,-8.2245,22.7,50
,Finland,2020-03-10T10:13:30,40,0,1,64.0,26.0,1.1,92
Ontario,Canada,2020-03-10T17:13:32,36,0,4,51.2538,-85.3232,-10.3,74
,Ireland,2020-03-10T19:13:21,34,0,0,53.1424,-7.6921,5.2,83
,Philippines,2020-03-10T10:13:30,33,1,2,12.8797,121.774,27.0,76
British Columbia,Canada,2020-03-09T22:43:25,32,1,4,53.7267,-127.6476,-7.8,93
,Brazil,2020-03-10T16:53:13,31,0,0,-14.235,-51.9253,24.8,89
,Slovenia,2020-03-10T16:13:26,31,0,0,46.1512,14.9955,11.7,59
,Viet Nam,2020-03-10T19:13:21,31,0,16,16.0,108.0,23.7,82
,Indonesia,2020-03-10T12:53:02,27,0,2,-0.7893,113.9213,26.1,90
,Romania,2020-03-10T16:33:13,25,0,3,46.0,25.0,6.7,76
,occupied Palestinian territory,2020-03-10T19:13:21,25,0,0,31.9522,35.2332,20.8,45
,Qatar,2020-03-10T16:13:26,24,0,0,25.3548,51.1839,21.9,40
,Poland,2020-03-10T20:13:07,22,0,0,51.9194,19.1451,8.9,65
Grand Princess,US,2020-03-10T02:33:04,21,0,0,37.6489,-122.6655,10.2,97
,Algeria,2020-03-09T10:13:06,20,0,0,28.0339,1.6596,18.0,22
